"id","first_name","last_name","date_of_migration","migration_type","from_region","to_region","individual_id","registration_round","registration_date","registration_update_date","registration_user","registration_update_user"
1354,"N","N",2020-12-24,"In","","Yes",1354,1,2020-02-08,2020-02-08,"user_1","user_1"
1355,"O","O",2021-09-10,"Out","No","",1355,3,2020-08-06,2020-08-06,"user_1","user_1"
1356,"P","P",2018-11-05,"In","","Yes",1356,3,2018-08-17,2018-08-17,"user_1","user_1"
1357,"Q","Q",2019-07-23,"Out","No","",1357,5,2019-02-13,2019-02-13,"user_1","user_1"
1358,"R","R",2020-04-08,"In","","Yes",1358,3,2019-08-12,2019-08-12,"user_1","user_1"
1359,"S","S",2020-12-24,"Out","No","",1359,4,2020-02-08,2020-02-08,"user_1","user_1"
1360,"T","T",2021-09-10,"In","","Yes",1360,6,2020-08-06,2020-08-06,"user_1","user_1"
1361,"A","A",2018-11-05,"Out","No","",1361,5,2018-08-17,2018-08-17,"user_1","user_1"
1362,"B","B",2019-07-23,"In","","Yes",1362,2,2019-02-13,2019-02-13,"user_1","user_1"
1363,"C","C",2020-04-08,"Out","No","",1363,1,2019-08-12,2019-08-12,"user_1","user_1"
1364,"D","D",2020-12-24,"In","","Yes",1364,4,2020-02-08,2020-02-08,"user_1","user_1"
1365,"E","E",2021-09-10,"Out","No","",1365,1,2020-08-06,2020-08-06,"user_1","user_1"
1366,"F","F",2018-11-05,"In","","Yes",1366,4,2018-08-17,2018-08-17,"user_1","user_1"
1367,"G","G",2019-07-23,"Out","No","",1367,3,2019-02-13,2019-02-13,"user_1","user_1"
1368,"H","H",2020-04-08,"In","","Yes",1368,6,2019-08-12,2019-08-12,"user_1","user_1"
1369,"I","I",2020-12-24,"Out","No","",1369,3,2020-02-08,2020-02-08,"user_1","user_1"
1370,"J","J",2021-09-10,"In","","Yes",1370,2,2020-08-06,2020-08-06,"user_1","user_1"
1371,"K","K",2018-11-05,"Out","No","",1371,5,2018-08-17,2018-08-17,"user_1","user_1"
1372,"L","L",2019-07-23,"In","","Yes",1372,1,2019-02-13,2019-02-13,"user_1","user_1"
1373,"M","M",2020-04-08,"Out","No","",1373,3,2019-08-12,2019-08-12,"user_1","user_1"
1374,"N","N",2020-12-24,"In","","Yes",1374,4,2020-02-08,2020-02-08,"user_1","user_1"
1375,"O","O",2021-09-10,"Out","No","",1375,5,2020-08-06,2020-08-06,"user_1","user_1"
1376,"P","P",2018-11-05,"In","","Yes",1376,6,2018-08-17,2018-08-17,"user_1","user_1"
1377,"Q","Q",2019-07-23,"Out","No","",1377,4,2019-02-13,2019-02-13,"user_1","user_1"
1378,"R","R",2020-04-08,"In","","Yes",1378,4,2019-08-12,2019-08-12,"user_1","user_1"
1379,"S","S",2020-12-24,"Out","No","",1379,4,2020-02-08,2020-02-08,"user_1","user_1"
1380,"T","T",2021-09-10,"In","","Yes",1380,3,2020-08-06,2020-08-06,"user_1","user_1"
1381,"A","A",2018-11-05,"Out","No","",1381,6,2018-08-17,2018-08-17,"user_1","user_1"
1382,"B","B",2019-07-23,"In","","Yes",1382,6,2019-02-13,2019-02-13,"user_1","user_1"
1383,"C","C",2020-04-08,"Out","No","",1383,1,2019-08-12,2019-08-12,"user_1","user_1"
1384,"D","D",2020-12-24,"In","","Yes",1384,2,2020-02-08,2020-02-08,"user_1","user_1"
1385,"E","E",2021-09-10,"Out","No","",1385,6,2020-08-06,2020-08-06,"user_1","user_1"
1386,"F","F",2018-11-05,"In","","Yes",1386,4,2018-08-17,2018-08-17,"user_1","user_1"
1387,"G","G",2019-07-23,"Out","No","",1387,2,2019-02-13,2019-02-13,"user_1","user_1"
1388,"H","H",2020-04-08,"In","","Yes",1388,1,2019-08-12,2019-08-12,"user_1","user_1"
1389,"I","I",2020-12-24,"Out","No","",1389,1,2020-02-08,2020-02-08,"user_1","user_1"
1390,"J","J",2021-09-10,"In","","Yes",1390,5,2020-08-06,2020-08-06,"user_1","user_1"
1391,"K","K",2018-11-05,"Out","No","",1391,3,2018-08-17,2018-08-17,"user_1","user_1"
1392,"L","L",2019-07-23,"In","","Yes",1392,2,2019-02-13,2019-02-13,"user_1","user_1"
1393,"M","M",2020-04-08,"Out","No","",1393,3,2019-08-12,2019-08-12,"user_1","user_1"
1394,"N","N",2020-12-24,"In","","Yes",1394,5,2020-02-08,2020-02-08,"user_1","user_1"
1395,"O","O",2021-09-10,"Out","No","",1395,5,2020-08-06,2020-08-06,"user_1","user_1"
1396,"P","P",2018-11-05,"In","","Yes",1396,1,2018-08-17,2018-08-17,"user_1","user_1"
1397,"Q","Q",2019-07-23,"Out","No","",1397,6,2019-02-13,2019-02-13,"user_1","user_1"
1398,"R","R",2020-04-08,"In","","Yes",1398,6,2019-08-12,2019-08-12,"user_1","user_1"
1399,"S","S",2020-12-24,"Out","No","",1399,1,2020-02-08,2020-02-08,"user_1","user_1"
1400,"T","T",2021-09-10,"In","","Yes",1400,1,2020-08-06,2020-08-06,"user_1","user_1"
1401,"A","A",2018-11-05,"Out","No","",1401,4,2018-08-17,2018-08-17,"user_1","user_1"
1402,"B","B",2019-07-23,"In","","Yes",1402,2,2019-02-13,2019-02-13,"user_1","user_1"
1403,"C","C",2020-04-08,"Out","No","",1403,5,2019-08-12,2019-08-12,"user_1","user_1"
1404,"D","D",2020-12-24,"In","","Yes",1404,2,2020-02-08,2020-02-08,"user_1","user_1"
1405,"E","E",2021-09-10,"Out","No","",1405,5,2020-08-06,2020-08-06,"user_1","user_1"
1406,"F","F",2018-11-05,"In","","Yes",1406,2,2018-08-17,2018-08-17,"user_1","user_1"
1407,"G","G",2019-07-23,"Out","No","",1407,2,2019-02-13,2019-02-13,"user_1","user_1"
1408,"H","H",2020-04-08,"In","","Yes",1408,6,2019-08-12,2019-08-12,"user_1","user_1"
1409,"I","I",2020-12-24,"Out","No","",1409,5,2020-02-08,2020-02-08,"user_1","user_1"
1410,"J","J",2021-09-10,"In","","Yes",1410,5,2020-08-06,2020-08-06,"user_1","user_1"
1411,"K","K",2018-11-05,"Out","No","",1411,3,2018-08-17,2018-08-17,"user_1","user_1"
1412,"L","L",2019-07-23,"In","","Yes",1412,5,2019-02-13,2019-02-13,"user_1","user_1"
1413,"M","M",2020-04-08,"Out","No","",1413,3,2019-08-12,2019-08-12,"user_1","user_1"
1414,"N","N",2020-12-24,"In","","Yes",1414,2,2020-02-08,2020-02-08,"user_1","user_1"
1415,"O","O",2021-09-10,"Out","No","",1415,1,2020-08-06,2020-08-06,"user_1","user_1"
1416,"P","P",2018-11-05,"In","","Yes",1416,4,2018-08-17,2018-08-17,"user_1","user_1"
1417,"Q","Q",2019-07-23,"Out","No","",1417,5,2019-02-13,2019-02-13,"user_1","user_1"
1418,"R","R",2020-04-08,"In","","Yes",1418,2,2019-08-12,2019-08-12,"user_1","user_1"
1419,"S","S",2020-12-24,"Out","No","",1419,6,2020-02-08,2020-02-08,"user_1","user_1"
1420,"T","T",2021-09-10,"In","","Yes",1420,1,2020-08-06,2020-08-06,"user_1","user_1"
1421,"A","A",2018-11-05,"Out","No","",1421,4,2018-08-17,2018-08-17,"user_1","user_1"
1422,"B","B",2019-07-23,"In","","Yes",1422,5,2019-02-13,2019-02-13,"user_1","user_1"
1423,"C","C",2020-04-08,"Out","No","",1423,4,2019-08-12,2019-08-12,"user_1","user_1"
1424,"D","D",2020-12-24,"In","","Yes",1424,4,2020-02-08,2020-02-08,"user_1","user_1"
1425,"E","E",2021-09-10,"Out","No","",1425,4,2020-08-06,2020-08-06,"user_1","user_1"
1426,"F","F",2018-11-05,"In","","Yes",1426,6,2018-08-17,2018-08-17,"user_1","user_1"
1427,"G","G",2019-07-23,"Out","No","",1427,4,2019-02-13,2019-02-13,"user_1","user_1"
1428,"H","H",2020-04-08,"In","","Yes",1428,2,2019-08-12,2019-08-12,"user_1","user_1"
1429,"I","I",2020-12-24,"Out","No","",1429,4,2020-02-08,2020-02-08,"user_1","user_1"
1430,"J","J",2021-09-10,"In","","Yes",1430,5,2020-08-06,2020-08-06,"user_1","user_1"
1431,"K","K",2018-11-05,"Out","No","",1431,5,2018-08-17,2018-08-17,"user_1","user_1"
1432,"L","L",2019-07-23,"In","","Yes",1432,4,2019-02-13,2019-02-13,"user_1","user_1"
1433,"M","M",2020-04-08,"Out","No","",1433,2,2019-08-12,2019-08-12,"user_1","user_1"
1434,"N","N",2020-12-24,"In","","Yes",1434,1,2020-02-08,2020-02-08,"user_1","user_1"
1435,"O","O",2021-09-10,"Out","No","",1435,3,2020-08-06,2020-08-06,"user_1","user_1"
1436,"P","P",2018-11-05,"In","","Yes",1436,6,2018-08-17,2018-08-17,"user_1","user_1"
1437,"Q","Q",2019-07-23,"Out","No","",1437,3,2019-02-13,2019-02-13,"user_1","user_1"
1438,"R","R",2020-04-08,"In","","Yes",1438,5,2019-08-12,2019-08-12,"user_1","user_1"
1439,"S","S",2020-12-24,"Out","No","",1439,1,2020-02-08,2020-02-08,"user_1","user_1"
1440,"T","T",2021-09-10,"In","","Yes",1440,6,2020-08-06,2020-08-06,"user_1","user_1"
1441,"A","A",2018-11-05,"Out","No","",1441,4,2018-08-17,2018-08-17,"user_1","user_1"
1442,"B","B",2019-07-23,"In","","Yes",1442,4,2019-02-13,2019-02-13,"user_1","user_1"
1443,"C","C",2020-04-08,"Out","No","",1443,5,2019-08-12,2019-08-12,"user_1","user_1"
1444,"D","D",2020-12-24,"In","","Yes",1444,1,2020-02-08,2020-02-08,"user_1","user_1"
1445,"E","E",2021-09-10,"Out","No","",1445,3,2020-08-06,2020-08-06,"user_1","user_1"
1446,"F","F",2018-11-05,"In","","Yes",1446,3,2018-08-17,2018-08-17,"user_1","user_1"
1447,"G","G",2019-07-23,"Out","No","",1447,4,2019-02-13,2019-02-13,"user_1","user_1"
1448,"H","H",2020-04-08,"In","","Yes",1448,1,2019-08-12,2019-08-12,"user_1","user_1"
1449,"I","I",2020-12-24,"Out","No","",1449,1,2020-02-08,2020-02-08,"user_1","user_1"
1450,"J","J",2021-09-10,"In","","Yes",1450,4,2020-08-06,2020-08-06,"user_1","user_1"
1451,"K","K",2018-11-05,"Out","No","",1451,4,2018-08-17,2018-08-17,"user_1","user_1"
1452,"L","L",2019-07-23,"In","","Yes",1452,3,2019-02-13,2019-02-13,"user_1","user_1"
1453,"M","M",2020-04-08,"Out","No","",1453,4,2019-08-12,2019-08-12,"user_1","user_1"
1454,"N","N",2020-12-24,"In","","Yes",1454,4,2020-02-08,2020-02-08,"user_1","user_1"
1455,"O","O",2021-09-10,"Out","No","",1455,4,2020-08-06,2020-08-06,"user_1","user_1"
1456,"P","P",2018-11-05,"In","","Yes",1456,3,2018-08-17,2018-08-17,"user_1","user_1"
1457,"Q","Q",2019-07-23,"Out","No","",1457,1,2019-02-13,2019-02-13,"user_1","user_1"
1458,"R","R",2020-04-08,"In","","Yes",1458,5,2019-08-12,2019-08-12,"user_1","user_1"
1459,"S","S",2020-12-24,"Out","No","",1459,1,2020-02-08,2020-02-08,"user_1","user_1"
1460,"T","T",2021-09-10,"In","","Yes",1460,4,2020-08-06,2020-08-06,"user_1","user_1"
1461,"A","A",2018-11-05,"Out","No","",1461,1,2018-08-17,2018-08-17,"user_1","user_1"
1462,"B","B",2019-07-23,"In","","Yes",1462,2,2019-02-13,2019-02-13,"user_1","user_1"
1463,"C","C",2020-04-08,"Out","No","",1463,2,2019-08-12,2019-08-12,"user_1","user_1"
1464,"D","D",2020-12-24,"In","","Yes",1464,2,2020-02-08,2020-02-08,"user_1","user_1"
1465,"E","E",2021-09-10,"Out","No","",1465,4,2020-08-06,2020-08-06,"user_1","user_1"
1466,"F","F",2018-11-05,"In","","Yes",1466,3,2018-08-17,2018-08-17,"user_1","user_1"
1467,"G","G",2019-07-23,"Out","No","",1467,5,2019-02-13,2019-02-13,"user_1","user_1"
1468,"H","H",2020-04-08,"In","","Yes",1468,6,2019-08-12,2019-08-12,"user_1","user_1"
1469,"I","I",2020-12-24,"Out","No","",1469,5,2020-02-08,2020-02-08,"user_1","user_1"
1470,"J","J",2021-09-10,"In","","Yes",1470,6,2020-08-06,2020-08-06,"user_1","user_1"
1471,"K","K",2018-11-05,"Out","No","",1471,6,2018-08-17,2018-08-17,"user_1","user_1"
1472,"L","L",2019-07-23,"In","","Yes",1472,4,2019-02-13,2019-02-13,"user_1","user_1"
1473,"M","M",2020-04-08,"Out","No","",1473,5,2019-08-12,2019-08-12,"user_1","user_1"
1474,"N","N",2020-12-24,"In","","Yes",1474,3,2020-02-08,2020-02-08,"user_1","user_1"
1475,"O","O",2021-09-10,"Out","No","",1475,1,2020-08-06,2020-08-06,"user_1","user_1"
1476,"P","P",2018-11-05,"In","","Yes",1476,4,2018-08-17,2018-08-17,"user_1","user_1"
1477,"Q","Q",2019-07-23,"Out","No","",1477,1,2019-02-13,2019-02-13,"user_1","user_1"
1478,"R","R",2020-04-08,"In","","Yes",1478,1,2019-08-12,2019-08-12,"user_1","user_1"
1479,"S","S",2020-12-24,"Out","No","",1479,3,2020-02-08,2020-02-08,"user_1","user_1"
1480,"T","T",2021-09-10,"In","","Yes",1480,2,2020-08-06,2020-08-06,"user_1","user_1"
1481,"A","A",2018-11-05,"Out","No","",1481,4,2018-08-17,2018-08-17,"user_1","user_1"
1482,"B","B",2019-07-23,"In","","Yes",1482,5,2019-02-13,2019-02-13,"user_1","user_1"
1483,"C","C",2020-04-08,"Out","No","",1483,6,2019-08-12,2019-08-12,"user_1","user_1"
1484,"D","D",2020-12-24,"In","","Yes",1484,1,2020-02-08,2020-02-08,"user_1","user_1"
1485,"E","E",2021-09-10,"Out","No","",1485,5,2020-08-06,2020-08-06,"user_1","user_1"
1486,"F","F",2018-11-05,"In","","Yes",1486,6,2018-08-17,2018-08-17,"user_1","user_1"
1487,"G","G",2019-07-23,"Out","No","",1487,2,2019-02-13,2019-02-13,"user_1","user_1"
1488,"H","H",2020-04-08,"In","","Yes",1488,6,2019-08-12,2019-08-12,"user_1","user_1"
1489,"I","I",2020-12-24,"Out","No","",1489,6,2020-02-08,2020-02-08,"user_1","user_1"
1490,"J","J",2021-09-10,"In","","Yes",1490,5,2020-08-06,2020-08-06,"user_1","user_1"
1491,"K","K",2018-11-05,"Out","No","",1491,6,2018-08-17,2018-08-17,"user_1","user_1"
1492,"L","L",2019-07-23,"In","","Yes",1492,4,2019-02-13,2019-02-13,"user_1","user_1"
1493,"M","M",2020-04-08,"Out","No","",1493,1,2019-08-12,2019-08-12,"user_1","user_1"
1494,"N","N",2020-12-24,"In","","Yes",1494,6,2020-02-08,2020-02-08,"user_1","user_1"
1495,"O","O",2021-09-10,"Out","No","",1495,5,2020-08-06,2020-08-06,"user_1","user_1"
1496,"P","P",2018-11-05,"In","","Yes",1496,3,2018-08-17,2018-08-17,"user_1","user_1"
1497,"Q","Q",2019-07-23,"Out","No","",1497,2,2019-02-13,2019-02-13,"user_1","user_1"
1498,"R","R",2020-04-08,"In","","Yes",1498,4,2019-08-12,2019-08-12,"user_1","user_1"
1499,"S","S",2020-12-24,"Out","No","",1499,1,2020-02-08,2020-02-08,"user_1","user_1"
1500,"T","T",2021-09-10,"In","","Yes",1500,5,2020-08-06,2020-08-06,"user_1","user_1"
1501,"A","A",2018-11-05,"Out","No","",1501,2,2018-08-17,2018-08-17,"user_1","user_1"
1502,"B","B",2019-07-23,"In","","Yes",1502,5,2019-02-13,2019-02-13,"user_1","user_1"
1503,"C","C",2020-04-08,"Out","No","",1503,5,2019-08-12,2019-08-12,"user_1","user_1"
1504,"D","D",2020-12-24,"In","","Yes",1504,3,2020-02-08,2020-02-08,"user_1","user_1"
1505,"E","E",2021-09-10,"Out","No","",1505,6,2020-08-06,2020-08-06,"user_1","user_1"
1506,"F","F",2018-11-05,"In","","Yes",1506,3,2018-08-17,2018-08-17,"user_1","user_1"
1507,"G","G",2019-07-23,"Out","No","",1507,5,2019-02-13,2019-02-13,"user_1","user_1"
1508,"H","H",2020-04-08,"In","","Yes",1508,3,2019-08-12,2019-08-12,"user_1","user_1"
1509,"I","I",2020-12-24,"Out","No","",1509,4,2020-02-08,2020-02-08,"user_1","user_1"
1510,"J","J",2021-09-10,"In","","Yes",1510,3,2020-08-06,2020-08-06,"user_1","user_1"
1511,"K","K",2018-11-05,"Out","No","",1511,6,2018-08-17,2018-08-17,"user_1","user_1"
1512,"L","L",2019-07-23,"In","","Yes",1512,5,2019-02-13,2019-02-13,"user_1","user_1"
1513,"M","M",2020-04-08,"Out","No","",1513,2,2019-08-12,2019-08-12,"user_1","user_1"
1514,"N","N",2020-12-24,"In","","Yes",1514,6,2020-02-08,2020-02-08,"user_1","user_1"
1515,"O","O",2021-09-10,"Out","No","",1515,2,2020-08-06,2020-08-06,"user_1","user_1"
1516,"P","P",2018-11-05,"In","","Yes",1516,4,2018-08-17,2018-08-17,"user_1","user_1"
1517,"Q","Q",2019-07-23,"Out","No","",1517,2,2019-02-13,2019-02-13,"user_1","user_1"
1518,"R","R",2020-04-08,"In","","Yes",1518,6,2019-08-12,2019-08-12,"user_1","user_1"
1519,"S","S",2020-12-24,"Out","No","",1519,4,2020-02-08,2020-02-08,"user_1","user_1"
1520,"T","T",2021-09-10,"In","","Yes",1520,3,2020-08-06,2020-08-06,"user_1","user_1"
1521,"A","A",2018-11-05,"Out","No","",1521,1,2018-08-17,2018-08-17,"user_1","user_1"
1522,"B","B",2019-07-23,"In","","Yes",1522,6,2019-02-13,2019-02-13,"user_1","user_1"
1523,"C","C",2020-04-08,"Out","No","",1523,3,2019-08-12,2019-08-12,"user_1","user_1"
1524,"D","D",2020-12-24,"In","","Yes",1524,2,2020-02-08,2020-02-08,"user_1","user_1"
1525,"E","E",2021-09-10,"Out","No","",1525,1,2020-08-06,2020-08-06,"user_1","user_1"
1526,"F","F",2018-11-05,"In","","Yes",1526,1,2018-08-17,2018-08-17,"user_1","user_1"
1527,"G","G",2019-07-23,"Out","No","",1527,4,2019-02-13,2019-02-13,"user_1","user_1"
1528,"H","H",2020-04-08,"In","","Yes",1528,6,2019-08-12,2019-08-12,"user_1","user_1"
1529,"I","I",2020-12-24,"Out","No","",1529,3,2020-02-08,2020-02-08,"user_1","user_1"
1530,"J","J",2021-09-10,"In","","Yes",1530,1,2020-08-06,2020-08-06,"user_1","user_1"
1531,"K","K",2018-11-05,"Out","No","",1531,2,2018-08-17,2018-08-17,"user_1","user_1"
1532,"L","L",2019-07-23,"In","","Yes",1532,6,2019-02-13,2019-02-13,"user_1","user_1"
1533,"M","M",2020-04-08,"Out","No","",1533,5,2019-08-12,2019-08-12,"user_1","user_1"
1534,"N","N",2020-12-24,"In","","Yes",1534,5,2020-02-08,2020-02-08,"user_1","user_1"
1535,"O","O",2021-09-10,"Out","No","",1535,3,2020-08-06,2020-08-06,"user_1","user_1"
1536,"P","P",2018-11-05,"In","","Yes",1536,4,2018-08-17,2018-08-17,"user_1","user_1"
1537,"Q","Q",2019-07-23,"Out","No","",1537,5,2019-02-13,2019-02-13,"user_1","user_1"
1538,"R","R",2020-04-08,"In","","Yes",1538,4,2019-08-12,2019-08-12,"user_1","user_1"
1539,"S","S",2020-12-24,"Out","No","",1539,4,2020-02-08,2020-02-08,"user_1","user_1"
1540,"T","T",2021-09-10,"In","","Yes",1540,4,2020-08-06,2020-08-06,"user_1","user_1"
1541,"A","A",2018-11-05,"Out","No","",1541,5,2018-08-17,2018-08-17,"user_1","user_1"
1542,"B","B",2019-07-23,"In","","Yes",1542,3,2019-02-13,2019-02-13,"user_1","user_1"
1543,"C","C",2020-04-08,"Out","No","",1543,3,2019-08-12,2019-08-12,"user_1","user_1"
1544,"D","D",2020-12-24,"In","","Yes",1544,4,2020-02-08,2020-02-08,"user_1","user_1"
1545,"E","E",2021-09-10,"Out","No","",1545,3,2020-08-06,2020-08-06,"user_1","user_1"
1546,"F","F",2018-11-05,"In","","Yes",1546,1,2018-08-17,2018-08-17,"user_1","user_1"
1547,"G","G",2019-07-23,"Out","No","",1547,4,2019-02-13,2019-02-13,"user_1","user_1"
1548,"H","H",2020-04-08,"In","","Yes",1548,1,2019-08-12,2019-08-12,"user_1","user_1"
1549,"I","I",2020-12-24,"Out","No","",1549,4,2020-02-08,2020-02-08,"user_1","user_1"
1550,"J","J",2021-09-10,"In","","Yes",1550,4,2020-08-06,2020-08-06,"user_1","user_1"
1551,"K","K",2018-11-05,"Out","No","",1551,2,2018-08-17,2018-08-17,"user_1","user_1"
1552,"L","L",2019-07-23,"In","","Yes",1552,4,2019-02-13,2019-02-13,"user_1","user_1"
1553,"M","M",2020-04-08,"Out","No","",1553,1,2019-08-12,2019-08-12,"user_1","user_1"
1554,"N","N",2020-12-24,"In","","Yes",1554,5,2020-02-08,2020-02-08,"user_1","user_1"
1555,"O","O",2021-09-10,"Out","No","",1555,1,2020-08-06,2020-08-06,"user_1","user_1"
1556,"P","P",2018-11-05,"In","","Yes",1556,2,2018-08-17,2018-08-17,"user_1","user_1"
1557,"Q","Q",2019-07-23,"Out","No","",1557,2,2019-02-13,2019-02-13,"user_1","user_1"
1558,"R","R",2020-04-08,"In","","Yes",1558,5,2019-08-12,2019-08-12,"user_1","user_1"
1559,"S","S",2020-12-24,"Out","No","",1559,5,2020-02-08,2020-02-08,"user_1","user_1"
1560,"T","T",2021-09-10,"In","","Yes",1560,4,2020-08-06,2020-08-06,"user_1","user_1"
1561,"A","A",2018-11-05,"Out","No","",1561,1,2018-08-17,2018-08-17,"user_1","user_1"
1562,"B","B",2019-07-23,"In","","Yes",1562,5,2019-02-13,2019-02-13,"user_1","user_1"
1563,"C","C",2020-04-08,"Out","No","",1563,1,2019-08-12,2019-08-12,"user_1","user_1"
1564,"D","D",2020-12-24,"In","","Yes",1564,5,2020-02-08,2020-02-08,"user_1","user_1"
1565,"E","E",2021-09-10,"Out","No","",1565,1,2020-08-06,2020-08-06,"user_1","user_1"
1566,"F","F",2018-11-05,"In","","Yes",1566,4,2018-08-17,2018-08-17,"user_1","user_1"
1567,"G","G",2019-07-23,"Out","No","",1567,4,2019-02-13,2019-02-13,"user_1","user_1"
1568,"H","H",2020-04-08,"In","","Yes",1568,1,2019-08-12,2019-08-12,"user_1","user_1"
1569,"I","I",2020-12-24,"Out","No","",1569,5,2020-02-08,2020-02-08,"user_1","user_1"
1570,"J","J",2021-09-10,"In","","Yes",1570,5,2020-08-06,2020-08-06,"user_1","user_1"
1571,"K","K",2018-11-05,"Out","No","",1571,3,2018-08-17,2018-08-17,"user_1","user_1"
1572,"L","L",2019-07-23,"In","","Yes",1572,1,2019-02-13,2019-02-13,"user_1","user_1"
1573,"M","M",2020-04-08,"Out","No","",1573,6,2019-08-12,2019-08-12,"user_1","user_1"
1574,"N","N",2020-12-24,"In","","Yes",1574,1,2020-02-08,2020-02-08,"user_1","user_1"
1575,"O","O",2021-09-10,"Out","No","",1575,5,2020-08-06,2020-08-06,"user_1","user_1"
1576,"P","P",2018-11-05,"In","","Yes",1576,2,2018-08-17,2018-08-17,"user_1","user_1"
1577,"Q","Q",2019-07-23,"Out","No","",1577,5,2019-02-13,2019-02-13,"user_1","user_1"
1578,"R","R",2020-04-08,"In","","Yes",1578,6,2019-08-12,2019-08-12,"user_1","user_1"
1579,"S","S",2020-12-24,"Out","No","",1579,1,2020-02-08,2020-02-08,"user_1","user_1"
1580,"T","T",2021-09-10,"In","","Yes",1580,5,2020-08-06,2020-08-06,"user_1","user_1"
1581,"A","A",2018-11-05,"Out","No","",1581,5,2018-08-17,2018-08-17,"user_1","user_1"
1582,"B","B",2019-07-23,"In","","Yes",1582,5,2019-02-13,2019-02-13,"user_1","user_1"
1583,"C","C",2020-04-08,"Out","No","",1583,4,2019-08-12,2019-08-12,"user_1","user_1"
1584,"D","D",2020-12-24,"In","","Yes",1584,4,2020-02-08,2020-02-08,"user_1","user_1"
1585,"E","E",2021-09-10,"Out","No","",1585,1,2020-08-06,2020-08-06,"user_1","user_1"
1586,"F","F",2018-11-05,"In","","Yes",1586,2,2018-08-17,2018-08-17,"user_1","user_1"
1587,"G","G",2019-07-23,"Out","No","",1587,5,2019-02-13,2019-02-13,"user_1","user_1"
1588,"H","H",2020-04-08,"In","","Yes",1588,1,2019-08-12,2019-08-12,"user_1","user_1"
1589,"I","I",2020-12-24,"Out","No","",1589,5,2020-02-08,2020-02-08,"user_1","user_1"
1590,"J","J",2021-09-10,"In","","Yes",1590,6,2020-08-06,2020-08-06,"user_1","user_1"
1591,"K","K",2018-11-05,"Out","No","",1591,4,2018-08-17,2018-08-17,"user_1","user_1"
1592,"L","L",2019-07-23,"In","","Yes",1592,6,2019-02-13,2019-02-13,"user_1","user_1"
1593,"M","M",2020-04-08,"Out","No","",1593,5,2019-08-12,2019-08-12,"user_1","user_1"
1594,"N","N",2020-12-24,"In","","Yes",1594,6,2020-02-08,2020-02-08,"user_1","user_1"
1595,"O","O",2021-09-10,"Out","No","",1595,1,2020-08-06,2020-08-06,"user_1","user_1"
1596,"P","P",2018-11-05,"In","","Yes",1596,4,2018-08-17,2018-08-17,"user_1","user_1"
1597,"Q","Q",2019-07-23,"Out","No","",1597,4,2019-02-13,2019-02-13,"user_1","user_1"
1598,"R","R",2020-04-08,"In","","Yes",1598,4,2019-08-12,2019-08-12,"user_1","user_1"
1599,"S","S",2020-12-24,"Out","No","",1599,1,2020-02-08,2020-02-08,"user_1","user_1"
1600,"T","T",2021-09-10,"In","","Yes",1600,6,2020-08-06,2020-08-06,"user_1","user_1"
1601,"A","A",2018-11-05,"Out","No","",1601,2,2018-08-17,2018-08-17,"user_1","user_1"
1602,"B","B",2019-07-23,"In","","Yes",1602,5,2019-02-13,2019-02-13,"user_1","user_1"
1603,"C","C",2020-04-08,"Out","No","",1603,2,2019-08-12,2019-08-12,"user_1","user_1"
1604,"D","D",2020-12-24,"In","","Yes",1604,6,2020-02-08,2020-02-08,"user_1","user_1"
1605,"E","E",2021-09-10,"Out","No","",1605,4,2020-08-06,2020-08-06,"user_1","user_1"
1606,"F","F",2018-11-05,"In","","Yes",1606,2,2018-08-17,2018-08-17,"user_1","user_1"
1607,"G","G",2019-07-23,"Out","No","",1607,5,2019-02-13,2019-02-13,"user_1","user_1"
1608,"H","H",2020-04-08,"In","","Yes",1608,4,2019-08-12,2019-08-12,"user_1","user_1"
1609,"I","I",2020-12-24,"Out","No","",1609,2,2020-02-08,2020-02-08,"user_1","user_1"
1610,"J","J",2021-09-10,"In","","Yes",1610,3,2020-08-06,2020-08-06,"user_1","user_1"
1611,"K","K",2018-11-05,"Out","No","",1611,4,2018-08-17,2018-08-17,"user_1","user_1"
1612,"L","L",2019-07-23,"In","","Yes",1612,6,2019-02-13,2019-02-13,"user_1","user_1"
1613,"M","M",2020-04-08,"Out","No","",1613,1,2019-08-12,2019-08-12,"user_1","user_1"
1614,"N","N",2020-12-24,"In","","Yes",1614,2,2020-02-08,2020-02-08,"user_1","user_1"
1615,"O","O",2021-09-10,"Out","No","",1615,1,2020-08-06,2020-08-06,"user_1","user_1"
1616,"P","P",2018-11-05,"In","","Yes",1616,3,2018-08-17,2018-08-17,"user_1","user_1"
1617,"Q","Q",2019-07-23,"Out","No","",1617,6,2019-02-13,2019-02-13,"user_1","user_1"
1618,"R","R",2020-04-08,"In","","Yes",1618,2,2019-08-12,2019-08-12,"user_1","user_1"
1619,"S","S",2020-12-24,"Out","No","",1619,3,2020-02-08,2020-02-08,"user_1","user_1"
1620,"T","T",2021-09-10,"In","","Yes",1620,6,2020-08-06,2020-08-06,"user_1","user_1"
1621,"A","A",2018-11-05,"Out","No","",1621,5,2018-08-17,2018-08-17,"user_1","user_1"
1622,"B","B",2019-07-23,"In","","Yes",1622,2,2019-02-13,2019-02-13,"user_1","user_1"
1623,"C","C",2020-04-08,"Out","No","",1623,5,2019-08-12,2019-08-12,"user_1","user_1"
