"id","first_name","last_name","date_of_migration","migration_type","from_region","individual_id","registration_round","registration_date","registration_update_date","registration_user","registration_update_user"
1165,"E","E","2021-09-10","In","yes",1165,5,"2020-08-06","2020-08-06","user_1","user_1"
1166,"F","F","2018-11-05","In","yes",1166,1,"2018-08-17","2018-08-17","user_1","user_1"
1167,"G","G","2019-07-23","In","yes",1167,2,"2019-02-13","2019-02-13","user_1","user_1"
1168,"H","H","2020-04-08","In","yes",1168,3,"2019-08-12","2019-08-12","user_1","user_1"
1169,"I","I","2020-12-24","In","yes",1169,4,"2020-02-08","2020-02-08","user_1","user_1"
1170,"J","J","2021-09-10","In","yes",1170,5,"2020-08-06","2020-08-06","user_1","user_1"
1171,"K","K","2018-11-05","In","yes",1171,1,"2018-08-17","2018-08-17","user_1","user_1"
1172,"L","L","2019-07-23","In","yes",1172,2,"2019-02-13","2019-02-13","user_1","user_1"
1173,"M","M","2020-04-08","In","yes",1173,3,"2019-08-12","2019-08-12","user_1","user_1"
1174,"N","N","2020-12-24","In","yes",1174,4,"2020-02-08","2020-02-08","user_1","user_1"
1175,"O","O","2021-09-10","In","yes",1175,5,"2020-08-06","2020-08-06","user_1","user_1"
1176,"P","P","2018-11-05","In","yes",1176,1,"2018-08-17","2018-08-17","user_1","user_1"
1177,"Q","Q","2019-07-23","In","yes",1177,2,"2019-02-13","2019-02-13","user_1","user_1"
1178,"R","R","2020-04-08","In","yes",1178,3,"2019-08-12","2019-08-12","user_1","user_1"
1179,"S","S","2020-12-24","In","yes",1179,4,"2020-02-08","2020-02-08","user_1","user_1"
1180,"T","T","2021-09-10","In","yes",1180,5,"2020-08-06","2020-08-06","user_1","user_1"
1181,"A","A","2018-11-05","In","yes",1181,1,"2018-08-17","2018-08-17","user_1","user_1"
1182,"B","B","2019-07-23","In","yes",1182,2,"2019-02-13","2019-02-13","user_1","user_1"
1183,"C","C","2020-04-08","In","yes",1183,3,"2019-08-12","2019-08-12","user_1","user_1"
1184,"D","D","2020-12-24","In","yes",1184,4,"2020-02-08","2020-02-08","user_1","user_1"
1185,"E","E","2021-09-10","In","yes",1185,5,"2020-08-06","2020-08-06","user_1","user_1"
1186,"F","F","2018-11-05","In","yes",1186,1,"2018-08-17","2018-08-17","user_1","user_1"
1187,"G","G","2019-07-23","In","yes",1187,2,"2019-02-13","2019-02-13","user_1","user_1"
1188,"H","H","2020-04-08","In","yes",1188,3,"2019-08-12","2019-08-12","user_1","user_1"
1189,"I","I","2020-12-24","In","yes",1189,4,"2020-02-08","2020-02-08","user_1","user_1"
1190,"J","J","2021-09-10","In","yes",1190,5,"2020-08-06","2020-08-06","user_1","user_1"
1191,"K","K","2018-11-05","In","yes",1191,1,"2018-08-17","2018-08-17","user_1","user_1"
1192,"L","L","2019-07-23","In","yes",1192,2,"2019-02-13","2019-02-13","user_1","user_1"
1193,"M","M","2020-04-08","In","yes",1193,3,"2019-08-12","2019-08-12","user_1","user_1"
1194,"N","N","2020-12-24","In","yes",1194,4,"2020-02-08","2020-02-08","user_1","user_1"
1195,"O","O","2021-09-10","In","yes",1195,5,"2020-08-06","2020-08-06","user_1","user_1"
1196,"P","P","2018-11-05","In","yes",1196,1,"2018-08-17","2018-08-17","user_1","user_1"
1197,"Q","Q","2019-07-23","In","yes",1197,2,"2019-02-13","2019-02-13","user_1","user_1"
1198,"R","R","2020-04-08","In","yes",1198,3,"2019-08-12","2019-08-12","user_1","user_1"
1199,"S","S","2020-12-24","In","yes",1199,4,"2020-02-08","2020-02-08","user_1","user_1"
1200,"T","T","2021-09-10","In","yes",1200,5,"2020-08-06","2020-08-06","user_1","user_1"
1201,"A","A","2018-11-05","In","yes",1201,1,"2018-08-17","2018-08-17","user_1","user_1"
1202,"B","B","2019-07-23","In","yes",1202,2,"2019-02-13","2019-02-13","user_1","user_1"
1203,"C","C","2020-04-08","In","yes",1203,3,"2019-08-12","2019-08-12","user_1","user_1"
1204,"D","D","2020-12-24","In","yes",1204,4,"2020-02-08","2020-02-08","user_1","user_1"
1205,"E","E","2021-09-10","In","yes",1205,5,"2020-08-06","2020-08-06","user_1","user_1"
1206,"F","F","2018-11-05","In","yes",1206,1,"2018-08-17","2018-08-17","user_1","user_1"
1207,"G","G","2019-07-23","In","yes",1207,2,"2019-02-13","2019-02-13","user_1","user_1"
1208,"H","H","2020-04-08","In","yes",1208,3,"2019-08-12","2019-08-12","user_1","user_1"
1209,"I","I","2020-12-24","In","yes",1209,4,"2020-02-08","2020-02-08","user_1","user_1"
1210,"J","J","2021-09-10","In","yes",1210,5,"2020-08-06","2020-08-06","user_1","user_1"
1211,"K","K","2018-11-05","In","yes",1211,1,"2018-08-17","2018-08-17","user_1","user_1"
1212,"L","L","2019-07-23","In","yes",1212,2,"2019-02-13","2019-02-13","user_1","user_1"
1213,"M","M","2020-04-08","In","yes",1213,3,"2019-08-12","2019-08-12","user_1","user_1"
1214,"N","N","2020-12-24","In","yes",1214,4,"2020-02-08","2020-02-08","user_1","user_1"
1215,"O","O","2021-09-10","In","yes",1215,5,"2020-08-06","2020-08-06","user_1","user_1"
1216,"P","P","2018-11-05","In","yes",1216,1,"2018-08-17","2018-08-17","user_1","user_1"
1217,"Q","Q","2019-07-23","In","yes",1217,2,"2019-02-13","2019-02-13","user_1","user_1"
1218,"R","R","2020-04-08","In","yes",1218,3,"2019-08-12","2019-08-12","user_1","user_1"
1219,"S","S","2020-12-24","In","yes",1219,4,"2020-02-08","2020-02-08","user_1","user_1"
1220,"T","T","2021-09-10","In","yes",1220,5,"2020-08-06","2020-08-06","user_1","user_1"
1221,"A","A","2018-11-05","In","yes",1221,1,"2018-08-17","2018-08-17","user_1","user_1"
1222,"B","B","2019-07-23","In","yes",1222,2,"2019-02-13","2019-02-13","user_1","user_1"
1223,"C","C","2020-04-08","In","yes",1223,3,"2019-08-12","2019-08-12","user_1","user_1"
1224,"D","D","2020-12-24","In","yes",1224,4,"2020-02-08","2020-02-08","user_1","user_1"
1225,"E","E","2021-09-10","In","yes",1225,5,"2020-08-06","2020-08-06","user_1","user_1"
1226,"F","F","2018-11-05","In","yes",1226,1,"2018-08-17","2018-08-17","user_1","user_1"
1227,"G","G","2019-07-23","In","yes",1227,2,"2019-02-13","2019-02-13","user_1","user_1"
1228,"H","H","2020-04-08","In","yes",1228,3,"2019-08-12","2019-08-12","user_1","user_1"
1229,"I","I","2020-12-24","In","yes",1229,4,"2020-02-08","2020-02-08","user_1","user_1"
1230,"J","J","2021-09-10","In","yes",1230,5,"2020-08-06","2020-08-06","user_1","user_1"
1231,"K","K","2018-11-05","In","yes",1231,1,"2018-08-17","2018-08-17","user_1","user_1"
1232,"L","L","2019-07-23","In","yes",1232,2,"2019-02-13","2019-02-13","user_1","user_1"
1233,"M","M","2020-04-08","In","yes",1233,3,"2019-08-12","2019-08-12","user_1","user_1"
1234,"N","N","2020-12-24","In","yes",1234,4,"2020-02-08","2020-02-08","user_1","user_1"
1235,"O","O","2021-09-10","In","yes",1235,5,"2020-08-06","2020-08-06","user_1","user_1"
1236,"P","P","2018-11-05","In","yes",1236,1,"2018-08-17","2018-08-17","user_1","user_1"
1237,"Q","Q","2019-07-23","In","yes",1237,2,"2019-02-13","2019-02-13","user_1","user_1"
1238,"R","R","2020-04-08","In","yes",1238,3,"2019-08-12","2019-08-12","user_1","user_1"
1239,"S","S","2020-12-24","In","yes",1239,4,"2020-02-08","2020-02-08","user_1","user_1"
1240,"T","T","2021-09-10","In","yes",1240,5,"2020-08-06","2020-08-06","user_1","user_1"
1241,"A","A","2018-11-05","In","yes",1241,1,"2018-08-17","2018-08-17","user_1","user_1"
1242,"B","B","2019-07-23","In","yes",1242,2,"2019-02-13","2019-02-13","user_1","user_1"
1243,"C","C","2020-04-08","In","yes",1243,3,"2019-08-12","2019-08-12","user_1","user_1"
1244,"D","D","2020-12-24","In","yes",1244,4,"2020-02-08","2020-02-08","user_1","user_1"
1245,"E","E","2021-09-10","In","yes",1245,5,"2020-08-06","2020-08-06","user_1","user_1"
1246,"F","F","2018-11-05","In","yes",1246,1,"2018-08-17","2018-08-17","user_1","user_1"
1247,"G","G","2019-07-23","In","yes",1247,2,"2019-02-13","2019-02-13","user_1","user_1"
1248,"H","H","2020-04-08","In","yes",1248,3,"2019-08-12","2019-08-12","user_1","user_1"
1249,"I","I","2020-12-24","In","yes",1249,4,"2020-02-08","2020-02-08","user_1","user_1"
1250,"J","J","2021-09-10","In","yes",1250,5,"2020-08-06","2020-08-06","user_1","user_1"
1251,"K","K","2018-11-05","In","yes",1251,1,"2018-08-17","2018-08-17","user_1","user_1"
1252,"L","L","2019-07-23","In","yes",1252,2,"2019-02-13","2019-02-13","user_1","user_1"
1253,"M","M","2020-04-08","In","yes",1253,3,"2019-08-12","2019-08-12","user_1","user_1"
1254,"N","N","2020-12-24","In","yes",1254,4,"2020-02-08","2020-02-08","user_1","user_1"
1255,"O","O","2021-09-10","In","yes",1255,5,"2020-08-06","2020-08-06","user_1","user_1"
1256,"P","P","2018-11-05","In","yes",1256,1,"2018-08-17","2018-08-17","user_1","user_1"
1257,"Q","Q","2019-07-23","In","yes",1257,2,"2019-02-13","2019-02-13","user_1","user_1"
1258,"R","R","2020-04-08","In","yes",1258,3,"2019-08-12","2019-08-12","user_1","user_1"
1259,"S","S","2020-12-24","In","yes",1259,4,"2020-02-08","2020-02-08","user_1","user_1"
1260,"T","T","2021-09-10","In","yes",1260,5,"2020-08-06","2020-08-06","user_1","user_1"
1261,"A","A","2018-11-05","In","yes",1261,1,"2018-08-17","2018-08-17","user_1","user_1"
1262,"B","B","2019-07-23","In","yes",1262,2,"2019-02-13","2019-02-13","user_1","user_1"
1263,"C","C","2020-04-08","In","yes",1263,3,"2019-08-12","2019-08-12","user_1","user_1"
1264,"D","D","2020-12-24","In","yes",1264,4,"2020-02-08","2020-02-08","user_1","user_1"
1265,"E","E","2021-09-10","In","yes",1265,5,"2020-08-06","2020-08-06","user_1","user_1"
1266,"F","F","2018-11-05","In","yes",1266,1,"2018-08-17","2018-08-17","user_1","user_1"
1267,"G","G","2019-07-23","In","yes",1267,2,"2019-02-13","2019-02-13","user_1","user_1"
1268,"H","H","2020-04-08","In","yes",1268,3,"2019-08-12","2019-08-12","user_1","user_1"
1269,"I","I","2020-12-24","In","yes",1269,4,"2020-02-08","2020-02-08","user_1","user_1"
1270,"J","J","2021-09-10","In","yes",1270,5,"2020-08-06","2020-08-06","user_1","user_1"
1271,"K","K","2018-11-05","In","yes",1271,1,"2018-08-17","2018-08-17","user_1","user_1"
1272,"L","L","2019-07-23","In","yes",1272,2,"2019-02-13","2019-02-13","user_1","user_1"
1273,"M","M","2020-04-08","In","yes",1273,3,"2019-08-12","2019-08-12","user_1","user_1"
1274,"N","N","2020-12-24","In","yes",1274,4,"2020-02-08","2020-02-08","user_1","user_1"
1275,"O","O","2021-09-10","In","yes",1275,5,"2020-08-06","2020-08-06","user_1","user_1"
1276,"P","P","2018-11-05","In","yes",1276,1,"2018-08-17","2018-08-17","user_1","user_1"
1277,"Q","Q","2019-07-23","In","yes",1277,2,"2019-02-13","2019-02-13","user_1","user_1"
1278,"R","R","2020-04-08","In","yes",1278,3,"2019-08-12","2019-08-12","user_1","user_1"
1279,"S","S","2020-12-24","In","yes",1279,4,"2020-02-08","2020-02-08","user_1","user_1"
1280,"T","T","2021-09-10","In","yes",1280,5,"2020-08-06","2020-08-06","user_1","user_1"
1281,"A","A","2018-11-05","In","yes",1281,1,"2018-08-17","2018-08-17","user_1","user_1"
1282,"B","B","2019-07-23","In","yes",1282,2,"2019-02-13","2019-02-13","user_1","user_1"
1283,"C","C","2020-04-08","In","yes",1283,3,"2019-08-12","2019-08-12","user_1","user_1"
1284,"D","D","2020-12-24","In","yes",1284,4,"2020-02-08","2020-02-08","user_1","user_1"
1285,"E","E","2021-09-10","In","yes",1285,5,"2020-08-06","2020-08-06","user_1","user_1"
1286,"F","F","2018-11-05","In","yes",1286,1,"2018-08-17","2018-08-17","user_1","user_1"
1287,"G","G","2019-07-23","In","yes",1287,2,"2019-02-13","2019-02-13","user_1","user_1"
1288,"H","H","2020-04-08","In","yes",1288,3,"2019-08-12","2019-08-12","user_1","user_1"
1289,"I","I","2020-12-24","In","yes",1289,4,"2020-02-08","2020-02-08","user_1","user_1"
1290,"J","J","2021-09-10","In","yes",1290,5,"2020-08-06","2020-08-06","user_1","user_1"
1291,"K","K","2018-11-05","In","yes",1291,1,"2018-08-17","2018-08-17","user_1","user_1"
1292,"L","L","2019-07-23","In","yes",1292,2,"2019-02-13","2019-02-13","user_1","user_1"
1293,"M","M","2020-04-08","In","yes",1293,3,"2019-08-12","2019-08-12","user_1","user_1"
1294,"N","N","2020-12-24","In","yes",1294,4,"2020-02-08","2020-02-08","user_1","user_1"
1295,"O","O","2021-09-10","In","yes",1295,5,"2020-08-06","2020-08-06","user_1","user_1"
1296,"P","P","2018-11-05","In","yes",1296,1,"2018-08-17","2018-08-17","user_1","user_1"
1297,"Q","Q","2019-07-23","In","yes",1297,2,"2019-02-13","2019-02-13","user_1","user_1"
1298,"R","R","2020-04-08","In","yes",1298,3,"2019-08-12","2019-08-12","user_1","user_1"
1299,"S","S","2020-12-24","In","yes",1299,4,"2020-02-08","2020-02-08","user_1","user_1"
1300,"T","T","2021-09-10","In","yes",1300,5,"2020-08-06","2020-08-06","user_1","user_1"
1301,"A","A","2018-11-05","In","yes",1301,1,"2018-08-17","2018-08-17","user_1","user_1"
1302,"B","B","2019-07-23","In","yes",1302,2,"2019-02-13","2019-02-13","user_1","user_1"
1303,"C","C","2020-04-08","In","yes",1303,3,"2019-08-12","2019-08-12","user_1","user_1"
1304,"D","D","2020-12-24","In","yes",1304,4,"2020-02-08","2020-02-08","user_1","user_1"
1305,"E","E","2021-09-10","In","yes",1305,5,"2020-08-06","2020-08-06","user_1","user_1"
1306,"F","F","2018-11-05","In","yes",1306,1,"2018-08-17","2018-08-17","user_1","user_1"
1307,"G","G","2019-07-23","In","yes",1307,2,"2019-02-13","2019-02-13","user_1","user_1"
1308,"H","H","2020-04-08","In","yes",1308,3,"2019-08-12","2019-08-12","user_1","user_1"
1309,"I","I","2020-12-24","In","yes",1309,4,"2020-02-08","2020-02-08","user_1","user_1"
1310,"J","J","2021-09-10","In","yes",1310,5,"2020-08-06","2020-08-06","user_1","user_1"
1311,"K","K","2018-11-05","In","yes",1311,1,"2018-08-17","2018-08-17","user_1","user_1"
1312,"L","L","2019-07-23","In","yes",1312,2,"2019-02-13","2019-02-13","user_1","user_1"
1313,"M","M","2020-04-08","In","yes",1313,3,"2019-08-12","2019-08-12","user_1","user_1"
1314,"N","N","2020-12-24","In","yes",1314,4,"2020-02-08","2020-02-08","user_1","user_1"
1315,"O","O","2021-09-10","In","yes",1315,5,"2020-08-06","2020-08-06","user_1","user_1"
1316,"P","P","2018-11-05","In","yes",1316,1,"2018-08-17","2018-08-17","user_1","user_1"
1317,"Q","Q","2019-07-23","In","yes",1317,2,"2019-02-13","2019-02-13","user_1","user_1"
1318,"R","R","2020-04-08","In","yes",1318,3,"2019-08-12","2019-08-12","user_1","user_1"
1319,"S","S","2020-12-24","In","yes",1319,4,"2020-02-08","2020-02-08","user_1","user_1"
1320,"T","T","2021-09-10","In","yes",1320,5,"2020-08-06","2020-08-06","user_1","user_1"
1321,"A","A","2018-11-05","In","yes",1321,1,"2018-08-17","2018-08-17","user_1","user_1"
1322,"B","B","2019-07-23","In","yes",1322,2,"2019-02-13","2019-02-13","user_1","user_1"
1323,"C","C","2020-04-08","In","yes",1323,3,"2019-08-12","2019-08-12","user_1","user_1"
1324,"D","D","2020-12-24","In","yes",1324,4,"2020-02-08","2020-02-08","user_1","user_1"
1325,"E","E","2021-09-10","In","yes",1325,5,"2020-08-06","2020-08-06","user_1","user_1"
1326,"F","F","2018-11-05","In","yes",1326,1,"2018-08-17","2018-08-17","user_1","user_1"
1327,"G","G","2019-07-23","In","yes",1327,2,"2019-02-13","2019-02-13","user_1","user_1"
1328,"H","H","2020-04-08","In","yes",1328,3,"2019-08-12","2019-08-12","user_1","user_1"
1329,"I","I","2020-12-24","In","yes",1329,4,"2020-02-08","2020-02-08","user_1","user_1"
1330,"J","J","2021-09-10","In","yes",1330,5,"2020-08-06","2020-08-06","user_1","user_1"
1331,"K","K","2018-11-05","In","yes",1331,1,"2018-08-17","2018-08-17","user_1","user_1"
1332,"L","L","2019-07-23","In","yes",1332,2,"2019-02-13","2019-02-13","user_1","user_1"
1333,"M","M","2020-04-08","In","yes",1333,3,"2019-08-12","2019-08-12","user_1","user_1"
1334,"N","N","2020-12-24","In","yes",1334,4,"2020-02-08","2020-02-08","user_1","user_1"
1335,"O","O","2021-09-10","In","yes",1335,5,"2020-08-06","2020-08-06","user_1","user_1"
1336,"P","P","2018-11-05","In","yes",1336,1,"2018-08-17","2018-08-17","user_1","user_1"
1337,"Q","Q","2019-07-23","In","yes",1337,2,"2019-02-13","2019-02-13","user_1","user_1"
1338,"R","R","2020-04-08","In","yes",1338,3,"2019-08-12","2019-08-12","user_1","user_1"
1339,"S","S","2020-12-24","In","yes",1339,4,"2020-02-08","2020-02-08","user_1","user_1"
1340,"T","T","2021-09-10","In","yes",1340,5,"2020-08-06","2020-08-06","user_1","user_1"
1341,"A","A","2018-11-05","In","yes",1341,1,"2018-08-17","2018-08-17","user_1","user_1"
1342,"B","B","2019-07-23","In","yes",1342,2,"2019-02-13","2019-02-13","user_1","user_1"
1343,"C","C","2020-04-08","In","yes",1343,3,"2019-08-12","2019-08-12","user_1","user_1"
1344,"D","D","2020-12-24","In","yes",1344,4,"2020-02-08","2020-02-08","user_1","user_1"
1345,"E","E","2021-09-10","In","yes",1345,5,"2020-08-06","2020-08-06","user_1","user_1"
1346,"F","F","2018-11-05","In","yes",1346,1,"2018-08-17","2018-08-17","user_1","user_1"
1347,"G","G","2019-07-23","In","yes",1347,2,"2019-02-13","2019-02-13","user_1","user_1"
1348,"H","H","2020-04-08","In","yes",1348,3,"2019-08-12","2019-08-12","user_1","user_1"
1349,"I","I","2020-12-24","In","yes",1349,4,"2020-02-08","2020-02-08","user_1","user_1"
1350,"J","J","2021-09-10","In","yes",1350,5,"2020-08-06","2020-08-06","user_1","user_1"
1351,"K","K","2018-11-05","In","yes",1351,1,"2018-08-17","2018-08-17","user_1","user_1"
1352,"L","L","2019-07-23","In","yes",1352,2,"2019-02-13","2019-02-13","user_1","user_1"
1353,"M","M","2020-04-08","In","yes",1353,3,"2019-08-12","2019-08-12","user_1","user_1"
1354,"N","N","2020-12-24","In","yes",1354,4,"2020-02-08","2020-02-08","user_1","user_1"
1355,"O","O","2021-09-10","In","yes",1355,5,"2020-08-06","2020-08-06","user_1","user_1"
1356,"P","P","2018-11-05","In","yes",1356,1,"2018-08-17","2018-08-17","user_1","user_1"
1357,"Q","Q","2019-07-23","In","yes",1357,2,"2019-02-13","2019-02-13","user_1","user_1"
1358,"R","R","2020-04-08","In","yes",1358,3,"2019-08-12","2019-08-12","user_1","user_1"
1359,"S","S","2020-12-24","In","yes",1359,4,"2020-02-08","2020-02-08","user_1","user_1"
1360,"T","T","2021-09-10","In","yes",1360,5,"2020-08-06","2020-08-06","user_1","user_1"
1361,"A","A","2018-11-05","In","yes",1361,1,"2018-08-17","2018-08-17","user_1","user_1"
1362,"B","B","2019-07-23","In","yes",1362,2,"2019-02-13","2019-02-13","user_1","user_1"
1363,"C","C","2020-04-08","In","yes",1363,3,"2019-08-12","2019-08-12","user_1","user_1"
1364,"D","D","2020-12-24","In","yes",1364,4,"2020-02-08","2020-02-08","user_1","user_1"
1365,"E","E","2021-09-10","In","yes",1365,5,"2020-08-06","2020-08-06","user_1","user_1"
1366,"F","F","2018-11-05","In","yes",1366,1,"2018-08-17","2018-08-17","user_1","user_1"
1367,"G","G","2019-07-23","In","yes",1367,2,"2019-02-13","2019-02-13","user_1","user_1"
1368,"H","H","2020-04-08","In","yes",1368,3,"2019-08-12","2019-08-12","user_1","user_1"
1369,"I","I","2020-12-24","In","yes",1369,4,"2020-02-08","2020-02-08","user_1","user_1"
1370,"J","J","2021-09-10","In","yes",1370,5,"2020-08-06","2020-08-06","user_1","user_1"
1371,"K","K","2018-11-05","In","yes",1371,1,"2018-08-17","2018-08-17","user_1","user_1"
1372,"L","L","2019-07-23","In","yes",1372,2,"2019-02-13","2019-02-13","user_1","user_1"
1373,"M","M","2020-04-08","In","yes",1373,3,"2019-08-12","2019-08-12","user_1","user_1"
1374,"N","N","2020-12-24","In","yes",1374,4,"2020-02-08","2020-02-08","user_1","user_1"
1375,"O","O","2021-09-10","In","yes",1375,5,"2020-08-06","2020-08-06","user_1","user_1"
1376,"P","P","2018-11-05","In","yes",1376,1,"2018-08-17","2018-08-17","user_1","user_1"
1377,"Q","Q","2019-07-23","In","yes",1377,2,"2019-02-13","2019-02-13","user_1","user_1"
1378,"R","R","2020-04-08","In","yes",1378,3,"2019-08-12","2019-08-12","user_1","user_1"
1379,"S","S","2020-12-24","In","yes",1379,4,"2020-02-08","2020-02-08","user_1","user_1"
1380,"T","T","2021-09-10","In","yes",1380,5,"2020-08-06","2020-08-06","user_1","user_1"
1381,"A","A","2018-11-05","In","yes",1381,1,"2018-08-17","2018-08-17","user_1","user_1"
1382,"B","B","2019-07-23","In","yes",1382,2,"2019-02-13","2019-02-13","user_1","user_1"
1383,"C","C","2020-04-08","In","yes",1383,3,"2019-08-12","2019-08-12","user_1","user_1"
1384,"D","D","2020-12-24","In","yes",1384,4,"2020-02-08","2020-02-08","user_1","user_1"
1385,"E","E","2021-09-10","In","yes",1385,5,"2020-08-06","2020-08-06","user_1","user_1"
1386,"F","F","2018-11-05","In","yes",1386,1,"2018-08-17","2018-08-17","user_1","user_1"
1387,"G","G","2019-07-23","In","yes",1387,2,"2019-02-13","2019-02-13","user_1","user_1"
1388,"H","H","2020-04-08","In","yes",1388,3,"2019-08-12","2019-08-12","user_1","user_1"
1389,"I","I","2020-12-24","In","yes",1389,4,"2020-02-08","2020-02-08","user_1","user_1"
1390,"J","J","2021-09-10","In","yes",1390,5,"2020-08-06","2020-08-06","user_1","user_1"
1391,"K","K","2018-11-05","In","yes",1391,1,"2018-08-17","2018-08-17","user_1","user_1"
1392,"L","L","2019-07-23","In","yes",1392,2,"2019-02-13","2019-02-13","user_1","user_1"
1393,"M","M","2020-04-08","In","yes",1393,3,"2019-08-12","2019-08-12","user_1","user_1"
1394,"N","N","2020-12-24","In","yes",1394,4,"2020-02-08","2020-02-08","user_1","user_1"
1395,"O","O","2021-09-10","In","yes",1395,5,"2020-08-06","2020-08-06","user_1","user_1"
1396,"P","P","2018-11-05","In","yes",1396,1,"2018-08-17","2018-08-17","user_1","user_1"
1397,"Q","Q","2019-07-23","In","yes",1397,2,"2019-02-13","2019-02-13","user_1","user_1"
1398,"R","R","2020-04-08","In","yes",1398,3,"2019-08-12","2019-08-12","user_1","user_1"
1399,"S","S","2020-12-24","In","yes",1399,4,"2020-02-08","2020-02-08","user_1","user_1"
1400,"T","T","2021-09-10","In","yes",1400,5,"2020-08-06","2020-08-06","user_1","user_1"
1401,"A","A","2018-11-05","In","yes",1401,1,"2018-08-17","2018-08-17","user_1","user_1"
1402,"B","B","2019-07-23","In","yes",1402,2,"2019-02-13","2019-02-13","user_1","user_1"
1403,"C","C","2020-04-08","In","yes",1403,3,"2019-08-12","2019-08-12","user_1","user_1"
1404,"D","D","2020-12-24","In","yes",1404,4,"2020-02-08","2020-02-08","user_1","user_1"
1405,"E","E","2021-09-10","In","yes",1405,5,"2020-08-06","2020-08-06","user_1","user_1"
1406,"F","F","2018-11-05","In","yes",1406,1,"2018-08-17","2018-08-17","user_1","user_1"
1407,"G","G","2019-07-23","In","yes",1407,2,"2019-02-13","2019-02-13","user_1","user_1"
1408,"H","H","2020-04-08","In","yes",1408,3,"2019-08-12","2019-08-12","user_1","user_1"
1409,"I","I","2020-12-24","In","yes",1409,4,"2020-02-08","2020-02-08","user_1","user_1"
1410,"J","J","2021-09-10","In","yes",1410,5,"2020-08-06","2020-08-06","user_1","user_1"
1411,"K","K","2018-11-05","In","yes",1411,1,"2018-08-17","2018-08-17","user_1","user_1"
1412,"L","L","2019-07-23","In","yes",1412,2,"2019-02-13","2019-02-13","user_1","user_1"
1413,"M","M","2020-04-08","In","yes",1413,3,"2019-08-12","2019-08-12","user_1","user_1"
1414,"N","N","2020-12-24","In","yes",1414,4,"2020-02-08","2020-02-08","user_1","user_1"
1415,"O","O","2021-09-10","In","yes",1415,5,"2020-08-06","2020-08-06","user_1","user_1"
1416,"P","P","2018-11-05","In","yes",1416,1,"2018-08-17","2018-08-17","user_1","user_1"
1417,"Q","Q","2019-07-23","In","yes",1417,2,"2019-02-13","2019-02-13","user_1","user_1"
1418,"R","R","2020-04-08","In","yes",1418,3,"2019-08-12","2019-08-12","user_1","user_1"
1419,"S","S","2020-12-24","In","yes",1419,4,"2020-02-08","2020-02-08","user_1","user_1"
1420,"T","T","2021-09-10","In","yes",1420,5,"2020-08-06","2020-08-06","user_1","user_1"
1421,"A","A","2018-11-05","In","yes",1421,1,"2018-08-17","2018-08-17","user_1","user_1"
1422,"B","B","2019-07-23","In","yes",1422,2,"2019-02-13","2019-02-13","user_1","user_1"
1423,"C","C","2020-04-08","In","yes",1423,3,"2019-08-12","2019-08-12","user_1","user_1"
1424,"D","D","2020-12-24","In","yes",1424,4,"2020-02-08","2020-02-08","user_1","user_1"
1425,"E","E","2021-09-10","In","yes",1425,5,"2020-08-06","2020-08-06","user_1","user_1"
1426,"F","F","2018-11-05","In","yes",1426,1,"2018-08-17","2018-08-17","user_1","user_1"
1427,"G","G","2019-07-23","In","yes",1427,2,"2019-02-13","2019-02-13","user_1","user_1"
1428,"H","H","2020-04-08","In","yes",1428,3,"2019-08-12","2019-08-12","user_1","user_1"
1429,"I","I","2020-12-24","In","yes",1429,4,"2020-02-08","2020-02-08","user_1","user_1"
1430,"J","J","2021-09-10","In","yes",1430,5,"2020-08-06","2020-08-06","user_1","user_1"
1431,"K","K","2018-11-05","In","yes",1431,1,"2018-08-17","2018-08-17","user_1","user_1"
1432,"L","L","2019-07-23","In","yes",1432,2,"2019-02-13","2019-02-13","user_1","user_1"
1433,"M","M","2020-04-08","In","yes",1433,3,"2019-08-12","2019-08-12","user_1","user_1"
1434,"N","N","2020-12-24","In","yes",1434,4,"2020-02-08","2020-02-08","user_1","user_1"
1435,"O","O","2021-09-10","In","yes",1435,5,"2020-08-06","2020-08-06","user_1","user_1"
1436,"P","P","2018-11-05","In","yes",1436,1,"2018-08-17","2018-08-17","user_1","user_1"
1437,"Q","Q","2019-07-23","In","yes",1437,2,"2019-02-13","2019-02-13","user_1","user_1"
1438,"R","R","2020-04-08","In","yes",1438,3,"2019-08-12","2019-08-12","user_1","user_1"
1439,"S","S","2020-12-24","In","yes",1439,4,"2020-02-08","2020-02-08","user_1","user_1"
1440,"T","T","2021-09-10","In","yes",1440,5,"2020-08-06","2020-08-06","user_1","user_1"
1441,"A","A","2018-11-05","In","yes",1441,1,"2018-08-17","2018-08-17","user_1","user_1"
1442,"B","B","2019-07-23","In","yes",1442,2,"2019-02-13","2019-02-13","user_1","user_1"
1443,"C","C","2020-04-08","In","yes",1443,3,"2019-08-12","2019-08-12","user_1","user_1"
1444,"D","D","2020-12-24","In","yes",1444,4,"2020-02-08","2020-02-08","user_1","user_1"
1445,"E","E","2021-09-10","In","yes",1445,5,"2020-08-06","2020-08-06","user_1","user_1"
1446,"F","F","2018-11-05","In","yes",1446,1,"2018-08-17","2018-08-17","user_1","user_1"
1447,"G","G","2019-07-23","In","yes",1447,2,"2019-02-13","2019-02-13","user_1","user_1"
